id;char;pinyin;translation;hsk_level
1;爱;ài;love;1
2;爱好;ài hào;hobby;1
3;八;bā;eight;1
4;爸爸;bà ba;dad;1
5;吧;ba;(a particle used at the end of the sentence to indicate suggestion or instruction);1
6;白;bái;white;1
7;白天;bái tiān;daytime;1
8;百;bǎi;hundred;1
9;班;bān;class;1
10;半;bàn;half;1
11;半年;bàn nián;half a year;1
12;半天;bàn tiān;"half day; long time";1
13;帮;bāng;to help;1
14;帮忙;bāng máng;to help;1
15;包;bāo;bag；to pack;1
16;包子;bāo zi;bun;1
17;杯;bēi;cup (measure word);1
18;杯子;bēi zi;cup;1
19;北;běi;north;1
20;北边;běi bian;north side;1
21;北京;Běi jīng;Beijing;1
22;本;běn;(measure word for books);1
23;本子;běn zi;note book;1
24;比;bǐ;compare;1
25;别;bié;do not;1
26;别的;bié de;other;1
27;别人;bié rén;other people;1
28;病;bìng;"sick; disease";1
29;病人;bìng rén;patient;1
30;不大;bú tà;"not big; not very";1
31;不对;bú duì;"not right; wrong";1
32;不客气;bú kè qì;you’re welcome;1
33;不用;bú yòng;no need to;1
34;不;bù;do not;1
35;菜;cài;dish;1
36;茶;chá;tea;1
37;差;chà;"lack of; bad";1
38;常;cháng;often;1
39;常常;cháng cháng;often;1
40;唱;chàng;sing;1
41;唱歌;chàng gē;to sing a song;1
42;车;chē;vehicle;1
43;车票;chē piào;bus or train ticket;1
44;车上;chē shang;in the car;1
45;车站;chē zhàn;station;1
46;吃;chī;eat;1
47;吃饭;chī fàn;eat;1
48;出;chū;out;1
49;出来;chū lái;come out;1
50;出去;chū qù;go out;1
51;穿;chuān;wear;1
52;床;chuáng;bed;1
53;次;cì;times;1
54;从;cóng;from;1
55;错;cuò;wrong;1
56;打;dǎ;hit;1
57;打车;dǎ chē;take a taxi;1
58;打电话;dǎ diàn huà;make a call;1
59;打开;dǎ kāi;"to open; turn on";1
60;打球;dǎ qiú;play ball;1
61;大;dà;big;1
62;大学;dà xué;university;1
63;大学生;dà xué shēng;college student;1
64;到;dào;"to; arrive; until";1
65;得到;dé dào;"get; acquire";1
66;地;de;(a particle used to explain verb);1
67;的;de;(a particle used behind an attributive);1
68;等;děng;wait;1
69;地;dì;ground;1
70;地点;dì diǎn;location;1
71;地方;dì fang;place;1
72;地上;dì shang;on the ground;1
73;地图;dìtú;map;1
74;弟弟;dìdi;younger brother;1
75;第二;dì èr;second;1
76;点;diǎn;"o’clock; point";1
77;电;diàn;electricity;1
78;电话;diàn huà;phone;1
79;电脑;diàn nǎo;computer;1
80;电视;diàn shì;tv;1
81;电视机;diàn shì jī;tv set;1
82;电影;diàn yǐng;movie;1
83;电影院;diàn yǐng yuàn;cinema;1
84;东;dōng;east;1
85;东边;dōng bian;east side;1
86;东西;dōng xi;"object; stuff";1
87;动;dòng;move;1
88;动作;dòng zuò;action;1
89;都;dōu;all;1
90;读;dú;read;1
91;读书;dú shū;to read a book;1
92;对;duì;correct;1
93;对不起;duì bu qǐ;sorry;1
94;多;duō;many;1
95;多少;duō shao;how many;1
96;饿;è;hungry;1
97;儿子;ér zi;son;1
98;二;èr;two;1
99;饭;fàn;rice;1
100;饭店;fàn diàn;restaurant;1
101;房间;fáng jiān;room;1
102;房子;fáng zi;house;1
103;放;fàng;put;1
104;放假;fàng jià;holiday;1
105;放学;fàng xué;after school;1
106;飞;fēi;fly;1
107;飞机;fēi jī;aircraft；plane;1
108;非常;fēi cháng;very;1
109;分;fēn;minute;1
110;风;fēng;wind;1
111;干;gàn;dry;1
112;干净;gān jìng;clean;1
113;干;gàn;do;1
114;干什么;gàn shén me;what to do;1
115;高;gāo;"tall; high";1
116;高兴;gāo xìng;happy;1
117;告诉;gào su;tell;1
118;哥哥;gē ge;older brother;1
119;歌;gē;song;1
120;个;gè;(general measure word);1
121;给;gěi;give;1
122;跟;gēn;with;1
123;工人;gōng rén;worker;1
124;工作;gōng zuò;"to work; job";1
125;关;guān;"to close; turn off";1
126;关上;guān shang;"to close; turn off";1
127;贵;guì;expensive;1
128;国;guó;country;1
129;国家;guó jiā;country;1
130;国外;guó wài;abroad;1
131;过;guò;"to cross; to pass";1
132;还;hái;"also; still";1
133;还是;hái shi;or;1
134;还有;hái yǒu;and also;1
135;孩子;hái zi;child;1
136;汉语;Hàn yǔ;Chinese;1
137;汉字;Hàn zì;Chinese character;1
138;好;hǎo;"great; good";1
139;好吃;hào chī;delicious;1
140;好看;hǎo kàn;good looking;1
141;好听;hǎo tīng;nice (to listen);1
142;好玩儿;hǎo wánr;fun;1
143;号;hào;"number; date";1
144;喝;hē;drink;1
145;和;hé;"with; and";1
146;很;hěn;very;1
147;后;hòu;"behind; after";1
148;后边;hòu bian;back side;1
149;后天;hòu tiān;the day after tomorrow;1
150;花;huā;flower;1
151;话;huà;words;1
152;坏;huài;"bad; broken";1
153;还;huán;return;1
154;回;huí;back to;1
155;回答;huídá;to answer;1
156;回到;huí dào;back to;1
157;回家;huí jiā;"come back home; go home";1
158;回来;huí lái;come back;1
159;回去;huí qù;go back;1
160;会;huì;"can; be able to";1
161;火车;huǒ chē;train;1
162;机场;jī chǎng;airport;1
163;机票;jī piào;plane tickets;1
164;鸡蛋;jī dàn;chicken egg;1
165;几;jǐ;a few;1
166;记;jì;remember;1
167;记得;jì de;remember;1
168;记住;jì zhù;remember;1
169;家;jiā;"family; home";1
170;家里;jiā li;at home;1
171;家人;jiā rén;family;1
172;间;jiān;room;1
173;见;jiàn;meet;1
174;见面;jiàn miàn;meet;1
175;教;jiào;teach;1
176;叫;jiào;call;1
177;教学楼;jiào xué lóu;classroom building;1
178;姐姐;jiě jie;older sister;1
179;介绍;jiè shào;"introduce; introduction";1
180;今年;jīn nián;this year;1
181;今天;jīn tiān;today;1
182;进;jìn;enter;1
183;进来;jìn lái;come in;1
184;进去;jìn qù;go in;1
185;九;jiǔ;nine;1
186;就;jiù;(indicate summary or result);1
187;觉得;jué de;feel;1
188;开;kāi;"open; drive";1
189;开车;kāi chē;drive;1
190;开会;kāi huì;have a meeting;1
191;开玩笑;kāi wán xiào;joking;1
192;看;kàn;look;1
193;看病;kàn bìng;see a doctor;1
194;看到;kàn dào;see;1
195;看见;kàn jiàn;see;1
196;考;kǎo;test;1
197;考试;kǎo shì;examination;1
198;渴;kě;thirsty;1
199;课;kè;"class; lesson";1
200;课本;kè běn;textbook;1
201;课文;kè wén;text;1
